puck_id,x_offset,y_offset,z_offset
fc_1_L1_tile_1674,202434,2678667,0
fc_1_L1_tile_1675,202434,2714949,0
fc_1_L1_tile_1676,202434,2751231,0
fc_1_L1_tile_1677,202434,2787513,0
fc_1_L1_tile_1678,202434,2823795,0
fc_1_L1_tile_2001,0,42483,0
fc_1_L1_tile_2002,0,78765,0
fc_1_L1_tile_2003,0,115047,0
fc_1_L1_tile_2004,0,151329,0
fc_1_L1_tile_2005,0,187611,0
fc_1_L1_tile_2006,0,223893,0
fc_1_L1_tile_2007,0,260175,0
fc_1_L1_tile_2008,0,296457,0
fc_1_L1_tile_2009,0,332739,0
fc_1_L1_tile_2010,0,369021,0
fc_1_L1_tile_2011,0,405303,0
fc_1_L1_tile_2012,0,441585,0
fc_1_L1_tile_2013,0,477867,0
fc_1_L1_tile_2014,0,514149,0
fc_1_L1_tile_2015,0,550431,0
fc_1_L1_tile_2016,0,586713,0
fc_1_L1_tile_2017,0,622995,0
fc_1_L1_tile_2018,0,659277,0
fc_1_L1_tile_2019,0,695559,0
fc_1_L1_tile_2020,0,731841,0
fc_1_L1_tile_2021,0,768123,0
fc_1_L1_tile_2022,0,804405,0
fc_1_L1_tile_2023,0,840687,0
fc_1_L1_tile_2024,0,876969,0
fc_1_L1_tile_2025,0,913251,0
fc_1_L1_tile_2026,0,949533,0
fc_1_L1_tile_2027,0,985815,0
fc_1_L1_tile_2028,0,1022097,0
fc_1_L1_tile_2029,0,1058379,0
fc_1_L1_tile_2030,0,1094661,0
fc_1_L1_tile_2031,0,1130943,0
fc_1_L1_tile_2032,0,1167225,0
fc_1_L1_tile_2033,0,1203507,0
fc_1_L1_tile_2034,0,1239789,0
fc_1_L1_tile_2035,0,1276071,0
fc_1_L1_tile_2036,0,1312353,0
fc_1_L1_tile_2037,0,1348635,0
fc_1_L1_tile_2038,0,1384917,0
fc_1_L1_tile_2039,0,1421199,0
fc_1_L1_tile_2040,0,1457481,0
fc_1_L1_tile_2041,0,1493763,0
fc_1_L1_tile_2042,0,1530045,0
fc_1_L1_tile_2043,0,1566327,0
fc_1_L1_tile_2044,0,1602609,0
fc_1_L1_tile_2045,0,1638891,0
fc_1_L1_tile_2046,0,1675173,0
fc_1_L1_tile_2047,0,1711455,0
fc_1_L1_tile_2048,0,1747737,0
fc_1_L1_tile_2049,0,1784019,0
fc_1_L1_tile_2050,0,1820301,0
fc_1_L1_tile_2051,0,1856583,0
fc_1_L1_tile_2052,0,1892865,0
fc_1_L1_tile_2053,0,1929147,0
fc_1_L1_tile_2054,0,1965429,0
fc_1_L1_tile_2055,0,2001711,0
fc_1_L1_tile_2056,0,2037993,0
fc_1_L1_tile_2057,0,2074275,0
fc_1_L1_tile_2058,0,2110557,0
fc_1_L1_tile_2059,0,2146839,0
fc_1_L1_tile_2060,0,2183121,0
fc_1_L1_tile_2061,0,2219403,0
fc_1_L1_tile_2062,0,2255685,0
fc_1_L1_tile_2063,0,2291967,0
fc_1_L1_tile_2064,0,2328249,0
fc_1_L1_tile_2065,0,2364531,0
fc_1_L1_tile_2066,0,2400813,0
fc_1_L1_tile_2067,0,2437095,0
fc_1_L1_tile_2068,0,2473377,0
fc_1_L1_tile_2069,0,2509659,0
fc_1_L1_tile_2070,0,2545941,0
fc_1_L1_tile_2071,0,2582223,0
